编号,时间,用户,资源类型,资源IP,资源账号,登录协议,操作命令列表
199,2024-09-16 22:14:33,user_4,Database,192.168.1.103,user_8,Telnet,"sudo apt update, cat /etc/passwd, ls -la, exit, systemctl restart apache2"
200,2024-08-09 16:37:46,user_10,Database,192.168.1.134,user_10,SSH,"systemctl restart apache2, cat /etc/passwd, scp file.txt user@192.168.1.100:/home/"
201,2024-01-20 14:41:52,user_7,Database,192.168.4.194,user_5,RDP,"scp file.txt user@192.168.1.100:/home/, rm -rf /tmp/*, exit, ls -la, sudo apt update"
202,2024-02-25 19:01:37,user_1,Router,192.168.2.24,user_3,SSH,"sudo apt update, cat /etc/passwd"
203,2024-07-14 14:05:43,user_10,Router,192.168.1.88,user_3,Telnet,scp file.txt user@192.168.1.100:/home/
204,2024-01-28 19:46:34,user_9,Database,192.168.3.139,user_3,RDP,"sudo apt update, cat /etc/passwd, rm -rf /tmp/*, ls -la, scp file.txt user@192.168.1.100:/home/"
205,2024-06-01 10:01:27,user_9,Server,192.168.1.62,user_1,RDP,"scp file.txt user@192.168.1.100:/home/, cat /etc/passwd"
206,2024-08-09 13:17:04,user_4,Router,192.168.4.72,user_2,SSH,"rm -rf /tmp/*, scp file.txt user@192.168.1.100:/home/, cat /etc/passwd, sudo apt update, ls -la"
207,2024-01-23 17:54:44,user_7,Switch,192.168.3.210,user_4,Telnet,"ls -la, scp file.txt user@192.168.1.100:/home/, sudo apt update, systemctl restart apache2"
208,2024-04-19 00:30:29,user_4,Database,192.168.2.23,user_5,Telnet,"systemctl restart apache2, exit, scp file.txt user@192.168.1.100:/home/"
209,2024-11-09 11:57:32,user_8,Switch,192.168.4.13,user_6,RDP,"systemctl restart apache2, scp file.txt user@192.168.1.100:/home/"
210,2024-05-03 07:24:42,user_4,Router,192.168.2.222,user_7,Telnet,systemctl restart apache2
211,2024-07-26 10:29:50,user_7,Database,192.168.3.215,user_5,SSH,"scp file.txt user@192.168.1.100:/home/, systemctl restart apache2, ls -la"
212,2024-07-31 10:55:15,user_8,Server,192.168.3.127,user_1,HTTP,"exit, sudo apt update, rm -rf /tmp/*, scp file.txt user@192.168.1.100:/home/"
213,2024-09-25 21:45:51,user_4,Database,192.168.3.231,user_4,RDP,"scp file.txt user@192.168.1.100:/home/, sudo apt update"
214,2024-02-23 10:13:59,user_1,Router,192.168.1.135,user_8,HTTP,"sudo apt update, rm -rf /tmp/*, scp file.txt user@192.168.1.100:/home/, cat /etc/passwd"
215,2024-10-09 19:27:22,user_7,Router,192.168.3.79,user_6,SSH,"exit, sudo apt update"
216,2024-06-02 01:58:51,user_4,Router,192.168.3.17,user_7,HTTP,"exit, scp file.txt user@192.168.1.100:/home/, rm -rf /tmp/*"
217,2024-08-11 00:04:53,user_4,Database,192.168.1.222,user_3,RDP,"cat /etc/passwd, exit, rm -rf /tmp/*, scp file.txt user@192.168.1.100:/home/, sudo apt update"
218,2024-11-12 07:01:20,user_6,Server,192.168.3.249,user_1,Telnet,"scp file.txt user@192.168.1.100:/home/, exit, rm -rf /tmp/*"
219,2024-05-09 06:56:11,user_6,Database,192.168.3.116,user_2,Telnet,"scp file.txt user@192.168.1.100:/home/, exit, rm -rf /tmp/*, ls -la, sudo apt update"
220,2024-01-01 23:26:34,user_2,Server,192.168.1.208,user_3,HTTP,exit
221,2024-02-08 00:28:32,user_5,Database,192.168.1.213,user_6,SSH,"scp file.txt user@192.168.1.100:/home/, systemctl restart apache2"
222,2024-01-02 12:03:23,user_8,Server,192.168.4.106,user_6,HTTP,"ls -la, sudo apt update, rm -rf /tmp/*"
223,2024-01-16 23:16:33,user_2,Router,192.168.1.139,user_9,HTTP,"sudo apt update, rm -rf /tmp/*"
224,2024-06-13 01:11:38,user_6,Database,192.168.3.205,user_4,Telnet,"ls -la, scp file.txt user@192.168.1.100:/home/, sudo apt update, systemctl restart apache2, cat /etc/passwd"
225,2024-06-20 18:50:01,user_7,Server,192.168.4.163,user_2,SSH,exit
226,2024-01-11 03:34:10,user_5,Switch,192.168.4.40,user_1,SSH,"systemctl restart apache2, cat /etc/passwd, sudo apt update"
227,2024-11-12 21:44:30,user_1,Router,192.168.2.211,user_5,Telnet,systemctl restart apache2
228,2024-08-16 02:42:52,user_8,Database,192.168.2.133,user_4,Telnet,"ls -la, cat /etc/passwd, rm -rf /tmp/*, systemctl restart apache2"
229,2024-01-06 03:24:35,user_1,Router,192.168.4.67,user_6,Telnet,"cat /etc/passwd, systemctl restart apache2"
230,2024-06-19 22:21:39,user_8,Server,192.168.4.80,user_3,HTTP,"sudo apt update, exit"
231,2024-01-22 13:02:53,user_10,Router,192.168.2.219,user_10,RDP,"sudo apt update, scp file.txt user@192.168.1.100:/home/, exit"
232,2024-02-10 04:55:54,user_1,Database,192.168.1.63,user_6,HTTP,"exit, systemctl restart apache2, scp file.txt user@192.168.1.100:/home/, rm -rf /tmp/*, ls -la"
233,2024-08-15 17:07:54,user_8,Server,192.168.3.107,user_1,HTTP,cat /etc/passwd
234,2024-08-01 03:58:15,user_5,Switch,192.168.1.12,user_2,SSH,"systemctl restart apache2, rm -rf /tmp/*"
235,2024-05-21 10:49:56,user_9,Server,192.168.1.153,user_10,HTTP,"systemctl restart apache2, cat /etc/passwd, rm -rf /tmp/*, scp file.txt user@192.168.1.100:/home/"
236,2024-02-09 22:03:32,user_5,Server,192.168.3.196,user_5,HTTP,"scp file.txt user@192.168.1.100:/home/, ls -la, exit"
237,2024-05-28 21:43:33,user_2,Router,192.168.4.234,user_2,SSH,systemctl restart apache2
238,2024-05-24 18:12:06,user_3,Database,192.168.3.81,user_2,RDP,"cat /etc/passwd, rm -rf /tmp/*, systemctl restart apache2, sudo apt update"
239,2024-09-29 01:42:39,user_1,Switch,192.168.4.155,user_10,HTTP,"systemctl restart apache2, sudo apt update, scp file.txt user@192.168.1.100:/home/"
240,2024-03-02 07:35:55,user_10,Database,192.168.1.164,user_10,HTTP,"exit, systemctl restart apache2"
241,2024-05-28 11:14:33,user_1,Switch,192.168.4.194,user_7,Telnet,"systemctl restart apache2, sudo apt update, cat /etc/passwd"
242,2024-10-14 17:27:56,user_2,Database,192.168.2.30,user_8,Telnet,"cat /etc/passwd, rm -rf /tmp/*, sudo apt update"
243,2024-06-12 17:05:32,user_4,Server,192.168.4.34,user_6,HTTP,"scp file.txt user@192.168.1.100:/home/, cat /etc/passwd, rm -rf /tmp/*, systemctl restart apache2"
244,2024-02-11 09:56:52,user_8,Switch,192.168.4.241,user_5,RDP,"exit, cat /etc/passwd, scp file.txt user@192.168.1.100:/home/, sudo apt update"
245,2024-05-06 04:48:03,user_6,Database,192.168.1.170,user_10,SSH,cat /etc/passwd
246,2024-07-10 14:29:48,user_3,Switch,192.168.1.183,user_5,HTTP,"rm -rf /tmp/*, exit, sudo apt update, systemctl restart apache2, scp file.txt user@192.168.1.100:/home/"
247,2024-07-27 10:05:28,user_3,Router,192.168.3.22,user_8,RDP,ls -la
248,2024-03-05 21:30:49,user_2,Router,192.168.1.194,user_4,RDP,"exit, scp file.txt user@192.168.1.100:/home/"
249,2024-04-05 19:34:21,user_4,Switch,192.168.2.129,user_6,Telnet,"sudo apt update, cat /etc/passwd, scp file.txt user@192.168.1.100:/home/, ls -la, exit"
250,2024-07-30 08:24:11,user_4,Server,192.168.3.216,user_5,SSH,"scp file.txt user@192.168.1.100:/home/, cat /etc/passwd, systemctl restart apache2, sudo apt update, exit"
251,2024-02-19 01:18:07,user_9,Switch,192.168.2.104,user_3,RDP,rm -rf /tmp/*
252,2024-06-19 03:50:03,user_8,Database,192.168.1.19,user_1,Telnet,systemctl restart apache2
253,2024-05-04 23:54:29,user_4,Database,192.168.4.161,user_6,HTTP,"scp file.txt user@192.168.1.100:/home/, sudo apt update"
254,2024-03-18 07:05:45,user_5,Server,192.168.3.135,user_1,Telnet,cat /etc/passwd
255,2024-06-08 15:17:23,user_2,Router,192.168.4.187,user_4,SSH,"systemctl restart apache2, rm -rf /tmp/*"
256,2024-09-08 00:02:29,user_8,Router,192.168.1.70,user_4,RDP,"cat /etc/passwd, sudo apt update, rm -rf /tmp/*, systemctl restart apache2"
257,2024-08-02 09:26:00,user_8,Database,192.168.1.77,user_6,Telnet,"sudo apt update, exit, scp file.txt user@192.168.1.100:/home/"
258,2024-05-20 00:45:31,user_7,Database,192.168.4.180,user_1,HTTP,exit
259,2024-02-19 04:17:53,user_1,Server,192.168.2.4,user_3,SSH,"cat /etc/passwd, rm -rf /tmp/*, exit, systemctl restart apache2, sudo apt update"
260,2024-05-27 20:51:44,user_9,Database,192.168.2.117,user_5,Telnet,"rm -rf /tmp/*, cat /etc/passwd, scp file.txt user@192.168.1.100:/home/, systemctl restart apache2, ls -la"
261,2024-09-22 08:12:27,user_2,Switch,192.168.1.68,user_2,HTTP,"systemctl restart apache2, sudo apt update, ls -la, exit, scp file.txt user@192.168.1.100:/home/"
262,2024-10-20 07:49:49,user_8,Server,192.168.4.133,user_9,SSH,"scp file.txt user@192.168.1.100:/home/, rm -rf /tmp/*, systemctl restart apache2"
263,2024-01-31 19:28:45,user_7,Server,192.168.4.145,user_6,RDP,"sudo apt update, rm -rf /tmp/*"
264,2024-10-04 19:20:14,user_6,Switch,192.168.3.120,user_2,Telnet,"scp file.txt user@192.168.1.100:/home/, systemctl restart apache2, cat /etc/passwd, sudo apt update"
265,2024-10-29 19:09:02,user_4,Database,192.168.2.46,user_2,HTTP,"rm -rf /tmp/*, scp file.txt user@192.168.1.100:/home/, ls -la, sudo apt update, systemctl restart apache2"
266,2024-07-19 08:41:04,user_10,Database,192.168.2.66,user_10,SSH,"sudo apt update, systemctl restart apache2, scp file.txt user@192.168.1.100:/home/, rm -rf /tmp/*, cat /etc/passwd"
267,2024-05-18 07:30:33,user_8,Database,192.168.3.163,user_5,Telnet,rm -rf /tmp/*
268,2024-08-24 02:44:15,user_10,Database,192.168.3.222,user_4,RDP,"exit, rm -rf /tmp/*, ls -la, cat /etc/passwd, sudo apt update"
269,2024-09-26 19:56:32,user_7,Router,192.168.3.116,user_1,Telnet,scp file.txt user@192.168.1.100:/home/
270,2024-10-13 11:18:54,user_3,Database,192.168.4.150,user_5,SSH,"cat /etc/passwd, sudo apt update, scp file.txt user@192.168.1.100:/home/, ls -la, exit"
271,2024-03-24 04:21:18,user_5,Server,192.168.4.150,user_3,SSH,exit
272,2024-04-29 19:22:24,user_10,Database,192.168.4.196,user_1,Telnet,"scp file.txt user@192.168.1.100:/home/, exit, cat /etc/passwd, ls -la"
273,2024-08-10 00:23:46,user_3,Server,192.168.1.145,user_5,Telnet,"scp file.txt user@192.168.1.100:/home/, rm -rf /tmp/*, ls -la, systemctl restart apache2"
274,2024-10-27 00:51:24,user_2,Database,192.168.1.24,user_9,SSH,"ls -la, sudo apt update"
275,2024-02-03 12:47:59,user_5,Server,192.168.4.220,user_10,SSH,scp file.txt user@192.168.1.100:/home/
276,2024-04-01 06:27:55,user_3,Router,192.168.3.112,user_7,SSH,"cat /etc/passwd, ls -la, sudo apt update, exit"
277,2024-11-10 22:47:36,user_8,Switch,192.168.2.159,user_4,SSH,"sudo apt update, exit, systemctl restart apache2, ls -la"
278,2024-03-10 22:01:59,user_4,Router,192.168.2.140,user_3,HTTP,"exit, systemctl restart apache2, sudo apt update, scp file.txt user@192.168.1.100:/home/"
279,2024-08-06 14:01:50,user_10,Server,192.168.4.214,user_8,HTTP,ls -la
280,2024-08-01 05:38:22,user_3,Router,192.168.1.186,user_5,SSH,"ls -la, sudo apt update, scp file.txt user@192.168.1.100:/home/, systemctl restart apache2"
281,2024-02-03 20:39:27,user_4,Database,192.168.4.30,user_8,HTTP,"cat /etc/passwd, ls -la, exit, rm -rf /tmp/*"
282,2024-02-22 03:10:42,user_8,Router,192.168.4.104,user_3,SSH,"systemctl restart apache2, rm -rf /tmp/*"
283,2024-02-27 14:27:52,user_8,Switch,192.168.4.1,user_1,RDP,ls -la
284,2024-08-18 00:33:40,user_7,Database,192.168.1.148,user_10,Telnet,"scp file.txt user@192.168.1.100:/home/, systemctl restart apache2"
285,2024-08-28 00:11:45,user_6,Switch,192.168.1.35,user_4,HTTP,"cat /etc/passwd, exit, scp file.txt user@192.168.1.100:/home/, rm -rf /tmp/*"
286,2024-06-29 23:07:57,user_1,Database,192.168.4.48,user_3,HTTP,"rm -rf /tmp/*, systemctl restart apache2, scp file.txt user@192.168.1.100:/home/, sudo apt update"
287,2024-11-05 09:26:08,user_7,Switch,192.168.2.216,user_3,Telnet,"cat /etc/passwd, ls -la, rm -rf /tmp/*, scp file.txt user@192.168.1.100:/home/"
288,2024-11-14 10:19:38,user_7,Router,192.168.4.15,user_5,Telnet,"sudo apt update, scp file.txt user@192.168.1.100:/home/"
289,2024-04-05 17:37:24,user_3,Router,192.168.3.113,user_2,Telnet,"scp file.txt user@192.168.1.100:/home/, rm -rf /tmp/*, systemctl restart apache2"
290,2024-08-06 00:43:32,user_3,Server,192.168.1.8,user_3,SSH,"sudo apt update, exit, cat /etc/passwd, rm -rf /tmp/*, systemctl restart apache2"
291,2024-09-15 01:47:20,user_4,Database,192.168.4.35,user_2,Telnet,"scp file.txt user@192.168.1.100:/home/, sudo apt update, cat /etc/passwd, exit"
292,2024-01-26 11:00:46,user_7,Router,192.168.1.38,user_3,SSH,"rm -rf /tmp/*, ls -la, cat /etc/passwd"
293,2024-09-06 23:29:03,user_10,Server,192.168.2.25,user_2,RDP,"exit, scp file.txt user@192.168.1.100:/home/, cat /etc/passwd"
294,2024-11-17 12:00:35,user_6,Server,192.168.2.65,user_3,RDP,"scp file.txt user@192.168.1.100:/home/, rm -rf /tmp/*, cat /etc/passwd, systemctl restart apache2"
295,2024-08-28 01:38:22,user_10,Database,192.168.3.220,user_9,Telnet,systemctl restart apache2
296,2024-01-21 03:01:05,user_6,Router,192.168.1.106,user_7,RDP,"scp file.txt user@192.168.1.100:/home/, cat /etc/passwd, sudo apt update, exit"
297,2024-04-20 06:35:37,user_7,Switch,192.168.4.224,user_1,Telnet,rm -rf /tmp/*
298,2024-04-12 13:46:03,user_7,Router,192.168.1.54,user_1,SSH,"sudo apt update, ls -la, exit, rm -rf /tmp/*, systemctl restart apache2"
299,2024-06-01 21:03:26,user_9,Database,192.168.4.182,user_2,SSH,"sudo apt update, exit, systemctl restart apache2"
300,2024-04-24 14:15:47,user_9,Database,192.168.4.63,user_3,Telnet,"systemctl restart apache2, rm -rf /tmp/*, ls -la, cat /etc/passwd"
301,2024-11-08 17:12:45,user_4,Router,192.168.1.215,user_5,HTTP,"ls -la, scp file.txt user@192.168.1.100:/home/, exit"
302,2024-07-12 15:22:21,user_3,Switch,192.168.4.205,user_8,RDP,"rm -rf /tmp/*, exit, scp file.txt user@192.168.1.100:/home/, cat /etc/passwd"
303,2024-04-18 17:26:56,user_7,Router,192.168.2.108,user_4,HTTP,"rm -rf /tmp/*, systemctl restart apache2, sudo apt update, ls -la"
304,2024-11-20 22:09:38,user_9,Switch,192.168.4.182,user_6,HTTP,"exit, sudo apt update, cat /etc/passwd, systemctl restart apache2"
305,2024-09-30 05:59:39,user_9,Server,192.168.4.79,user_9,RDP,"ls -la, sudo apt update"
306,2024-07-26 04:20:39,user_1,Router,192.168.2.108,user_1,SSH,"systemctl restart apache2, scp file.txt user@192.168.1.100:/home/, rm -rf /tmp/*, exit, cat /etc/passwd"
307,2024-08-20 03:08:58,user_10,Switch,192.168.2.247,user_9,HTTP,"scp file.txt user@192.168.1.100:/home/, exit, systemctl restart apache2"
308,2024-09-19 00:50:04,user_5,Router,192.168.3.71,user_4,SSH,"systemctl restart apache2, cat /etc/passwd, scp file.txt user@192.168.1.100:/home/, sudo apt update, exit"
309,2024-05-11 20:48:07,user_10,Switch,192.168.1.216,user_8,Telnet,ls -la
310,2024-04-24 11:21:12,user_3,Server,192.168.3.243,user_2,HTTP,"systemctl restart apache2, exit, cat /etc/passwd"
311,2024-01-22 08:31:03,user_6,Database,192.168.2.246,user_10,Telnet,ls -la
312,2024-04-18 15:23:44,user_2,Server,192.168.1.217,user_10,Telnet,"cat /etc/passwd, rm -rf /tmp/*, exit"
313,2024-05-21 05:00:41,user_8,Database,192.168.4.47,user_9,SSH,"rm -rf /tmp/*, systemctl restart apache2, cat /etc/passwd, sudo apt update"
314,2024-11-02 12:20:03,user_3,Switch,192.168.4.63,user_8,HTTP,"rm -rf /tmp/*, cat /etc/passwd, exit"
315,2024-09-04 07:18:10,user_2,Server,192.168.1.41,user_9,HTTP,"sudo apt update, ls -la, rm -rf /tmp/*, systemctl restart apache2"
316,2024-03-30 00:01:42,user_6,Router,192.168.2.152,user_8,SSH,"exit, cat /etc/passwd, systemctl restart apache2, ls -la"
317,2024-10-02 08:25:28,user_6,Database,192.168.3.58,user_5,HTTP,"rm -rf /tmp/*, systemctl restart apache2, cat /etc/passwd"
318,2024-10-25 14:41:05,user_10,Router,192.168.1.143,user_4,HTTP,"systemctl restart apache2, ls -la, sudo apt update, cat /etc/passwd, exit"
319,2024-02-09 00:58:25,user_5,Database,192.168.3.249,user_4,HTTP,"cat /etc/passwd, sudo apt update, rm -rf /tmp/*, scp file.txt user@192.168.1.100:/home/, systemctl restart apache2"
320,2024-08-21 13:45:16,user_2,Server,192.168.3.188,user_6,HTTP,"systemctl restart apache2, ls -la, cat /etc/passwd"
321,2024-01-13 07:08:49,user_10,Database,192.168.2.192,user_7,HTTP,"exit, ls -la, scp file.txt user@192.168.1.100:/home/, sudo apt update"
322,2024-02-13 08:11:25,user_3,Database,192.168.2.123,user_3,Telnet,"exit, scp file.txt user@192.168.1.100:/home/, cat /etc/passwd"
323,2024-02-05 10:17:48,user_1,Database,192.168.3.77,user_4,SSH,"exit, ls -la, rm -rf /tmp/*, systemctl restart apache2"
324,2024-04-29 13:07:32,user_5,Database,192.168.2.186,user_8,RDP,"scp file.txt user@192.168.1.100:/home/, exit, cat /etc/passwd"
325,2024-01-29 03:36:26,user_1,Server,192.168.2.246,user_8,RDP,"sudo apt update, rm -rf /tmp/*"
326,2024-02-11 03:44:19,user_6,Router,192.168.4.12,user_7,HTTP,"rm -rf /tmp/*, sudo apt update"
327,2024-06-21 22:23:55,user_3,Database,192.168.4.176,user_5,RDP,cat /etc/passwd
328,2024-08-10 12:44:47,user_8,Database,192.168.4.48,user_2,Telnet,"rm -rf /tmp/*, cat /etc/passwd, exit"
329,2024-08-06 01:34:44,user_6,Database,192.168.4.245,user_8,HTTP,"ls -la, rm -rf /tmp/*"
330,2024-11-10 15:50:08,user_9,Switch,192.168.3.32,user_8,SSH,"ls -la, rm -rf /tmp/*, systemctl restart apache2"
331,2024-08-28 03:08:42,user_4,Router,192.168.4.17,user_7,HTTP,"scp file.txt user@192.168.1.100:/home/, cat /etc/passwd, exit, rm -rf /tmp/*, sudo apt update"
332,2024-01-29 17:40:00,user_7,Router,192.168.1.60,user_2,Telnet,"ls -la, scp file.txt user@192.168.1.100:/home/, cat /etc/passwd"
333,2024-06-14 04:42:17,user_4,Database,192.168.1.241,user_10,HTTP,"cat /etc/passwd, rm -rf /tmp/*, ls -la, sudo apt update"
334,2024-08-25 11:43:34,user_8,Router,192.168.2.27,user_9,HTTP,"cat /etc/passwd, exit"
335,2024-04-02 09:52:40,user_2,Database,192.168.2.202,user_9,RDP,rm -rf /tmp/*
336,2024-01-03 14:09:00,user_10,Switch,192.168.2.113,user_2,Telnet,"exit, sudo apt update"
337,2024-08-04 04:02:51,user_4,Database,192.168.1.185,user_5,HTTP,"cat /etc/passwd, systemctl restart apache2, ls -la"
338,2024-02-02 05:31:41,user_10,Switch,192.168.2.213,user_10,HTTP,"scp file.txt user@192.168.1.100:/home/, rm -rf /tmp/*, exit, systemctl restart apache2"
339,2024-04-13 12:08:31,user_4,Switch,192.168.4.225,user_2,HTTP,"rm -rf /tmp/*, systemctl restart apache2"
340,2024-01-11 12:35:43,user_9,Database,192.168.3.139,user_1,RDP,"systemctl restart apache2, exit"
341,2024-05-10 16:07:37,user_10,Router,192.168.3.252,user_9,Telnet,sudo apt update
342,2024-02-17 19:31:10,user_3,Server,192.168.4.128,user_1,Telnet,"systemctl restart apache2, sudo apt update, exit"
343,2024-09-18 07:38:42,user_4,Database,192.168.1.85,user_1,RDP,exit
344,2024-05-15 03:05:22,user_10,Server,192.168.3.226,user_7,SSH,systemctl restart apache2
345,2024-06-29 11:22:14,user_5,Server,192.168.1.206,user_7,HTTP,"systemctl restart apache2, sudo apt update, rm -rf /tmp/*"
346,2024-01-08 10:35:23,user_5,Router,192.168.4.254,user_5,HTTP,cat /etc/passwd
347,2024-04-13 06:02:21,user_3,Database,192.168.1.216,user_6,RDP,"exit, scp file.txt user@192.168.1.100:/home/, systemctl restart apache2, ls -la, cat /etc/passwd"
348,2024-10-11 19:05:30,user_5,Server,192.168.2.200,user_3,Telnet,exit
349,2024-07-04 12:58:18,user_10,Router,192.168.4.155,user_3,HTTP,"systemctl restart apache2, rm -rf /tmp/*, exit, sudo apt update"
350,2024-10-28 08:50:24,user_1,Router,192.168.4.49,user_3,HTTP,"rm -rf /tmp/*, systemctl restart apache2, cat /etc/passwd"
351,2024-05-05 01:43:20,user_10,Database,192.168.4.46,user_1,RDP,"sudo apt update, systemctl restart apache2, ls -la, scp file.txt user@192.168.1.100:/home/, rm -rf /tmp/*"
352,2024-07-12 14:59:56,user_3,Database,192.168.4.104,user_10,RDP,"scp file.txt user@192.168.1.100:/home/, systemctl restart apache2"
353,2024-01-22 10:47:33,user_6,Router,192.168.2.173,user_5,HTTP,"sudo apt update, cat /etc/passwd"
354,2024-06-01 11:02:11,user_9,Server,192.168.2.242,user_6,SSH,"sudo apt update, systemctl restart apache2"
355,2024-03-21 06:23:51,user_3,Server,192.168.1.144,user_7,Telnet,"scp file.txt user@192.168.1.100:/home/, systemctl restart apache2, sudo apt update, cat /etc/passwd"
356,2024-10-31 09:22:24,user_7,Server,192.168.1.151,user_9,Telnet,rm -rf /tmp/*
357,2024-03-04 20:55:54,user_10,Router,192.168.3.132,user_3,Telnet,"cat /etc/passwd, systemctl restart apache2, exit, scp file.txt user@192.168.1.100:/home/"
358,2024-09-21 20:47:06,user_6,Switch,192.168.4.8,user_10,RDP,"cat /etc/passwd, systemctl restart apache2"
359,2024-07-04 13:37:17,user_9,Router,192.168.3.22,user_4,HTTP,"rm -rf /tmp/*, scp file.txt user@192.168.1.100:/home/, systemctl restart apache2, exit, ls -la"
360,2024-06-27 05:24:59,user_2,Router,192.168.1.8,user_9,HTTP,"sudo apt update, systemctl restart apache2, ls -la, cat /etc/passwd, rm -rf /tmp/*"
361,2024-01-20 12:20:00,user_3,Database,192.168.2.104,user_2,HTTP,"ls -la, scp file.txt user@192.168.1.100:/home/, rm -rf /tmp/*, sudo apt update"
362,2024-02-27 11:36:26,user_6,Server,192.168.4.109,user_4,SSH,"systemctl restart apache2, scp file.txt user@192.168.1.100:/home/, rm -rf /tmp/*, sudo apt update, exit"
363,2024-03-10 13:28:09,user_3,Router,192.168.4.73,user_9,Telnet,"cat /etc/passwd, ls -la"
364,2024-03-07 03:05:45,user_5,Router,192.168.1.41,user_7,RDP,"ls -la, exit, sudo apt update, cat /etc/passwd, rm -rf /tmp/*"
365,2024-07-01 07:56:14,user_9,Database,192.168.4.184,user_1,HTTP,rm -rf /tmp/*
366,2024-08-11 03:14:16,user_4,Database,192.168.4.145,user_2,RDP,"exit, systemctl restart apache2, ls -la, cat /etc/passwd"
367,2024-10-09 01:06:59,user_10,Server,192.168.4.82,user_8,RDP,"systemctl restart apache2, sudo apt update, scp file.txt user@192.168.1.100:/home/, ls -la"
368,2024-05-14 13:27:31,user_4,Database,192.168.4.254,user_4,SSH,"sudo apt update, cat /etc/passwd, exit, ls -la"
369,2024-10-17 08:25:04,user_3,Server,192.168.3.215,user_2,RDP,rm -rf /tmp/*
370,2024-03-11 07:38:40,user_3,Database,192.168.3.135,user_4,Telnet,"ls -la, sudo apt update"
371,2024-07-05 23:40:35,user_8,Server,192.168.3.26,user_10,Telnet,"rm -rf /tmp/*, exit, ls -la"
372,2024-02-07 06:25:53,user_1,Database,192.168.4.139,user_1,HTTP,rm -rf /tmp/*
373,2024-09-29 06:14:45,user_10,Switch,192.168.2.109,user_9,SSH,"cat /etc/passwd, rm -rf /tmp/*"
374,2024-10-20 02:06:31,user_1,Router,192.168.3.23,user_4,SSH,"scp file.txt user@192.168.1.100:/home/, rm -rf /tmp/*, cat /etc/passwd, systemctl restart apache2"
375,2024-06-19 07:24:46,user_7,Database,192.168.1.52,user_1,Telnet,sudo apt update
376,2024-01-24 20:26:57,user_2,Database,192.168.2.166,user_5,HTTP,exit
377,2024-05-01 17:52:18,user_5,Switch,192.168.2.139,user_10,SSH,"scp file.txt user@192.168.1.100:/home/, sudo apt update"
378,2024-08-30 20:50:05,user_8,Database,192.168.4.18,user_7,Telnet,"cat /etc/passwd, systemctl restart apache2, ls -la, scp file.txt user@192.168.1.100:/home/, exit"
379,2024-05-04 03:36:49,user_6,Switch,192.168.4.49,user_10,RDP,"ls -la, cat /etc/passwd"
380,2024-04-07 23:53:03,user_10,Router,192.168.1.66,user_1,HTTP,"systemctl restart apache2, ls -la, exit, scp file.txt user@192.168.1.100:/home/"
381,2024-03-29 21:43:20,user_4,Server,192.168.3.188,user_6,RDP,systemctl restart apache2
382,2024-06-28 02:25:16,user_10,Switch,192.168.3.72,user_1,RDP,"exit, sudo apt update"
383,2024-09-10 17:37:39,user_7,Database,192.168.1.172,user_5,SSH,"rm -rf /tmp/*, sudo apt update, cat /etc/passwd, exit"
384,2024-04-21 04:16:24,user_9,Server,192.168.1.206,user_4,SSH,scp file.txt user@192.168.1.100:/home/
385,2024-02-26 13:36:30,user_6,Router,192.168.4.216,user_7,HTTP,"ls -la, systemctl restart apache2"
386,2024-04-15 13:30:46,user_6,Switch,192.168.4.244,user_6,Telnet,ls -la
387,2024-05-02 13:27:42,user_10,Switch,192.168.2.33,user_1,HTTP,"scp file.txt user@192.168.1.100:/home/, cat /etc/passwd, ls -la, sudo apt update"
388,2024-07-26 06:22:49,user_8,Server,192.168.1.186,user_10,HTTP,"cat /etc/passwd, scp file.txt user@192.168.1.100:/home/, systemctl restart apache2, exit"
389,2024-01-30 22:11:50,user_7,Server,192.168.4.6,user_2,HTTP,"systemctl restart apache2, sudo apt update, cat /etc/passwd, rm -rf /tmp/*"
390,2024-05-22 05:54:56,user_6,Database,192.168.3.67,user_2,SSH,"scp file.txt user@192.168.1.100:/home/, rm -rf /tmp/*"
391,2024-05-16 17:18:13,user_6,Database,192.168.4.28,user_4,SSH,"scp file.txt user@192.168.1.100:/home/, systemctl restart apache2, rm -rf /tmp/*, exit, sudo apt update"
392,2024-07-20 13:04:23,user_3,Switch,192.168.1.152,user_5,HTTP,"exit, scp file.txt user@192.168.1.100:/home/"
393,2024-03-26 11:01:16,user_9,Switch,192.168.3.189,user_6,HTTP,"cat /etc/passwd, scp file.txt user@192.168.1.100:/home/, systemctl restart apache2"
394,2024-07-11 00:42:23,user_8,Switch,192.168.1.176,user_2,SSH,"ls -la, systemctl restart apache2, sudo apt update"
395,2024-03-28 01:51:19,user_2,Server,192.168.4.179,user_3,HTTP,"scp file.txt user@192.168.1.100:/home/, rm -rf /tmp/*"
396,2024-01-24 09:56:47,user_2,Switch,192.168.4.44,user_7,HTTP,"cat /etc/passwd, scp file.txt user@192.168.1.100:/home/, systemctl restart apache2, exit, rm -rf /tmp/*"
397,2024-05-11 01:30:51,user_8,Database,192.168.1.183,user_8,RDP,"ls -la, cat /etc/passwd"
398,2024-06-05 11:04:17,user_7,Switch,192.168.2.111,user_4,Telnet,"exit, sudo apt update, scp file.txt user@192.168.1.100:/home/, rm -rf /tmp/*, cat /etc/passwd"
